name,rank,points,competition,sport_type,result
sebrle,1,8217,Decastar,100m,11.04
sebrle,1,8217,Decastar,Long.jump,7.58
sebrle,1,8217,Decastar,Shot.put,14.83
sebrle,1,8217,Decastar,High.jump,2.07
sebrle,1,8217,Decastar,400m,49.81
sebrle,1,8217,Decastar,110m.hurdle,14.69
sebrle,1,8217,Decastar,Discus,43.75
sebrle,1,8217,Decastar,Pole.vault,5.02
sebrle,1,8217,Decastar,Javeline,63.19
sebrle,1,8217,Decastar,1500m,291.7
clay,2,8122,Decastar,100m,10.76
clay,2,8122,Decastar,Long.jump,7.4
clay,2,8122,Decastar,Shot.put,14.26
clay,2,8122,Decastar,High.jump,1.86
clay,2,8122,Decastar,400m,49.37
clay,2,8122,Decastar,110m.hurdle,14.05
clay,2,8122,Decastar,Discus,50.72
clay,2,8122,Decastar,Pole.vault,4.92
clay,2,8122,Decastar,Javeline,60.15
clay,2,8122,Decastar,1500m,301.5
karpov,3,8099,Decastar,100m,11.02
karpov,3,8099,Decastar,Long.jump,7.3
karpov,3,8099,Decastar,Shot.put,14.77
karpov,3,8099,Decastar,High.jump,2.04
karpov,3,8099,Decastar,400m,48.37
karpov,3,8099,Decastar,110m.hurdle,14.09
karpov,3,8099,Decastar,Discus,48.95
karpov,3,8099,Decastar,Pole.vault,4.92
karpov,3,8099,Decastar,Javeline,50.31
karpov,3,8099,Decastar,1500m,300.2
bernard,4,8067,Decastar,100m,11.02
bernard,4,8067,Decastar,Long.jump,7.23
bernard,4,8067,Decastar,Shot.put,14.25
bernard,4,8067,Decastar,High.jump,1.92
bernard,4,8067,Decastar,400m,48.93
bernard,4,8067,Decastar,110m.hurdle,14.99
bernard,4,8067,Decastar,Discus,40.87
bernard,4,8067,Decastar,Pole.vault,5.32
bernard,4,8067,Decastar,Javeline,62.77
bernard,4,8067,Decastar,1500m,280.1
yurkov,5,8036,Decastar,100m,11.34
yurkov,5,8036,Decastar,Long.jump,7.09
yurkov,5,8036,Decastar,Shot.put,15.19
yurkov,5,8036,Decastar,High.jump,2.1
yurkov,5,8036,Decastar,400m,50.42
yurkov,5,8036,Decastar,110m.hurdle,15.31
yurkov,5,8036,Decastar,Discus,46.26
yurkov,5,8036,Decastar,Pole.vault,4.72
yurkov,5,8036,Decastar,Javeline,63.44
yurkov,5,8036,Decastar,1500m,276.4
warners,6,8030,Decastar,100m,11.11
warners,6,8030,Decastar,Long.jump,7.6
warners,6,8030,Decastar,Shot.put,14.31
warners,6,8030,Decastar,High.jump,1.98
warners,6,8030,Decastar,400m,48.68
warners,6,8030,Decastar,110m.hurdle,14.23
warners,6,8030,Decastar,Discus,41.1
warners,6,8030,Decastar,Pole.vault,4.92
warners,6,8030,Decastar,Javeline,51.77
warners,6,8030,Decastar,1500m,278.1
zsivoczky,7,8004,Decastar,100m,11.13
zsivoczky,7,8004,Decastar,Long.jump,7.3
zsivoczky,7,8004,Decastar,Shot.put,13.48
zsivoczky,7,8004,Decastar,High.jump,2.01
zsivoczky,7,8004,Decastar,400m,48.62
zsivoczky,7,8004,Decastar,110m.hurdle,14.17
zsivoczky,7,8004,Decastar,Discus,45.67
zsivoczky,7,8004,Decastar,Pole.vault,4.42
zsivoczky,7,8004,Decastar,Javeline,55.37
zsivoczky,7,8004,Decastar,1500m,268
mcmullen,8,7995,Decastar,100m,10.83
mcmullen,8,7995,Decastar,Long.jump,7.31
mcmullen,8,7995,Decastar,Shot.put,13.76
mcmullen,8,7995,Decastar,High.jump,2.13
mcmullen,8,7995,Decastar,400m,49.91
mcmullen,8,7995,Decastar,110m.hurdle,14.38
mcmullen,8,7995,Decastar,Discus,44.41
mcmullen,8,7995,Decastar,Pole.vault,4.42
mcmullen,8,7995,Decastar,Javeline,56.37
mcmullen,8,7995,Decastar,1500m,285.1
martineau,9,7802,Decastar,100m,11.64
martineau,9,7802,Decastar,Long.jump,6.81
martineau,9,7802,Decastar,Shot.put,14.57
martineau,9,7802,Decastar,High.jump,1.95
martineau,9,7802,Decastar,400m,50.14
martineau,9,7802,Decastar,110m.hurdle,14.93
martineau,9,7802,Decastar,Discus,47.6
martineau,9,7802,Decastar,Pole.vault,4.92
martineau,9,7802,Decastar,Javeline,52.33
martineau,9,7802,Decastar,1500m,262.1
hernu,10,7733,Decastar,100m,11.37
hernu,10,7733,Decastar,Long.jump,7.56
hernu,10,7733,Decastar,Shot.put,14.41
hernu,10,7733,Decastar,High.jump,1.86
hernu,10,7733,Decastar,400m,51.1
hernu,10,7733,Decastar,110m.hurdle,15.06
hernu,10,7733,Decastar,Discus,44.99
hernu,10,7733,Decastar,Pole.vault,4.82
hernu,10,7733,Decastar,Javeline,57.19
hernu,10,7733,Decastar,1500m,285.1
barras,11,7708,Decastar,100m,11.33
barras,11,7708,Decastar,Long.jump,6.97
barras,11,7708,Decastar,Shot.put,14.09
barras,11,7708,Decastar,High.jump,1.95
barras,11,7708,Decastar,400m,49.48
barras,11,7708,Decastar,110m.hurdle,14.48
barras,11,7708,Decastar,Discus,42.1
barras,11,7708,Decastar,Pole.vault,4.72
barras,11,7708,Decastar,Javeline,55.4
barras,11,7708,Decastar,1500m,282
nool,12,7651,Decastar,100m,11.33
nool,12,7651,Decastar,Long.jump,7.27
nool,12,7651,Decastar,Shot.put,12.68
nool,12,7651,Decastar,High.jump,1.98
nool,12,7651,Decastar,400m,49.2
nool,12,7651,Decastar,110m.hurdle,15.29
nool,12,7651,Decastar,Discus,37.92
nool,12,7651,Decastar,Pole.vault,4.62
nool,12,7651,Decastar,Javeline,57.44
nool,12,7651,Decastar,1500m,266.6
bourguignon,13,7313,Decastar,100m,11.36
bourguignon,13,7313,Decastar,Long.jump,6.8
bourguignon,13,7313,Decastar,Shot.put,13.46
bourguignon,13,7313,Decastar,High.jump,1.86
bourguignon,13,7313,Decastar,400m,51.16
bourguignon,13,7313,Decastar,110m.hurdle,15.67
bourguignon,13,7313,Decastar,Discus,40.49
bourguignon,13,7313,Decastar,Pole.vault,5.02
bourguignon,13,7313,Decastar,Javeline,54.68
bourguignon,13,7313,Decastar,1500m,291.7
sebrle,1,8893,OlympicG,100m,10.85
sebrle,1,8893,OlympicG,Long.jump,7.84
sebrle,1,8893,OlympicG,Shot.put,16.36
sebrle,1,8893,OlympicG,High.jump,2.12
sebrle,1,8893,OlympicG,400m,48.36
sebrle,1,8893,OlympicG,110m.hurdle,14.05
sebrle,1,8893,OlympicG,Discus,48.72
sebrle,1,8893,OlympicG,Pole.vault,5
sebrle,1,8893,OlympicG,Javeline,70.52
sebrle,1,8893,OlympicG,1500m,280.01
clay,2,8820,OlympicG,100m,10.44
clay,2,8820,OlympicG,Long.jump,7.96
clay,2,8820,OlympicG,Shot.put,15.23
clay,2,8820,OlympicG,High.jump,2.06
clay,2,8820,OlympicG,400m,49.19
clay,2,8820,OlympicG,110m.hurdle,14.13
clay,2,8820,OlympicG,Discus,50.11
clay,2,8820,OlympicG,Pole.vault,4.9
clay,2,8820,OlympicG,Javeline,69.71
clay,2,8820,OlympicG,1500m,282
karpov,3,8725,OlympicG,100m,10.5
karpov,3,8725,OlympicG,Long.jump,7.81
karpov,3,8725,OlympicG,Shot.put,15.93
karpov,3,8725,OlympicG,High.jump,2.09
karpov,3,8725,OlympicG,400m,46.81
karpov,3,8725,OlympicG,110m.hurdle,13.97
karpov,3,8725,OlympicG,Discus,51.65
karpov,3,8725,OlympicG,Pole.vault,4.6
karpov,3,8725,OlympicG,Javeline,55.54
karpov,3,8725,OlympicG,1500m,278.11
macey,4,8414,OlympicG,100m,10.89
macey,4,8414,OlympicG,Long.jump,7.47
macey,4,8414,OlympicG,Shot.put,15.73
macey,4,8414,OlympicG,High.jump,2.15
macey,4,8414,OlympicG,400m,48.97
macey,4,8414,OlympicG,110m.hurdle,14.56
macey,4,8414,OlympicG,Discus,48.34
macey,4,8414,OlympicG,Pole.vault,4.4
macey,4,8414,OlympicG,Javeline,58.46
macey,4,8414,OlympicG,1500m,265.42
warners,5,8343,OlympicG,100m,10.62
warners,5,8343,OlympicG,Long.jump,7.74
warners,5,8343,OlympicG,Shot.put,14.48
warners,5,8343,OlympicG,High.jump,1.97
warners,5,8343,OlympicG,400m,47.97
warners,5,8343,OlympicG,110m.hurdle,14.01
warners,5,8343,OlympicG,Discus,43.73
warners,5,8343,OlympicG,Pole.vault,4.9
warners,5,8343,OlympicG,Javeline,55.39
warners,5,8343,OlympicG,1500m,278.05
zsivoczky,6,8287,OlympicG,100m,10.91
zsivoczky,6,8287,OlympicG,Long.jump,7.14
zsivoczky,6,8287,OlympicG,Shot.put,15.31
zsivoczky,6,8287,OlympicG,High.jump,2.12
zsivoczky,6,8287,OlympicG,400m,49.4
zsivoczky,6,8287,OlympicG,110m.hurdle,14.95
zsivoczky,6,8287,OlympicG,Discus,45.62
zsivoczky,6,8287,OlympicG,Pole.vault,4.7
zsivoczky,6,8287,OlympicG,Javeline,63.45
zsivoczky,6,8287,OlympicG,1500m,269.54
hernu,7,8237,OlympicG,100m,10.97
hernu,7,8237,OlympicG,Long.jump,7.19
hernu,7,8237,OlympicG,Shot.put,14.65
hernu,7,8237,OlympicG,High.jump,2.03
hernu,7,8237,OlympicG,400m,48.73
hernu,7,8237,OlympicG,110m.hurdle,14.25
hernu,7,8237,OlympicG,Discus,44.72
hernu,7,8237,OlympicG,Pole.vault,4.8
hernu,7,8237,OlympicG,Javeline,57.76
hernu,7,8237,OlympicG,1500m,264.35
nool,8,8235,OlympicG,100m,10.8
nool,8,8235,OlympicG,Long.jump,7.53
nool,8,8235,OlympicG,Shot.put,14.26
